     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
    8.10; 4; 740; 0.28; 15.963; 34.721; 0.224; 592.0; 438080.0; 389891.2; 0.0; 4281144.672; 15.987; 57.553; 
    8.13; 4; 740; 0.28; 15.987; 34.774; 0.223; 589.36; 436124.18; 388150.52; 0.0; 4294083.023; 16.011; 57.64; 
    8.17; 4; 740; 0.28; 16.011; 34.826; 0.223; 589.36; 436124.18; 388150.52; 0.0; 4307021.374; 16.035; 57.726; 
    8.20; 4; 740; 0.28; 16.035; 34.878; 0.223; 589.36; 436124.18; 388150.52; 0.0; 4319959.725; 16.06; 57.816; 
    8.23; 4; 740; 0.28; 16.06; 34.932; 0.223; 589.36; 436124.18; 388150.52; 0.0; 4332898.076; 16.084; 57.902; 
    8.27; 4; 740; 0.28; 16.084; 34.985; 0.222; 586.71; 434168.36; 386409.84; 0.0; 4345778.404; 16.107; 57.985; 
    8.30; 4; 740; 0.28; 16.107; 35.035; 0.222; 586.71; 434168.36; 386409.84; 0.0; 4358658.732; 16.131; 58.072; 
    8.33; 4; 740; 0.28; 16.131; 35.087; 0.222; 586.71; 434168.36; 386409.84; 0.0; 4371539.06; 16.155; 58.158; 
    8.37; 4; 740; 0.28; 16.155; 35.139; 0.222; 586.71; 434168.36; 386409.84; 0.0; 4384419.388; 16.179; 58.244; 
    8.40; 4; 740; 0.28; 16.179; 35.191; 0.221; 584.07; 432212.54; 384669.161; 0.0; 4397241.693; 16.203; 58.331; 
    8.43; 4; 740; 0.28; 16.203; 35.243; 0.221; 584.07; 432212.54; 384669.161; 0.0; 4410063.998; 16.226; 58.414; 
    8.47; 4; 740; 0.28; 16.226; 35.293; 0.221; 584.07; 432212.54; 384669.161; 0.0; 4422886.303; 16.25; 58.5; 
    8.50; 4; 740; 0.28; 16.25; 35.346; 0.221; 584.07; 432212.54; 384669.161; 0.0; 4435708.608; 16.273; 58.583; 
    8.53; 4; 740; 0.28; 16.273; 35.396; 0.22; 581.43; 430257.46; 382929.139; 0.0; 4448472.913; 16.297; 58.669; 
    8.57; 4; 740; 0.28; 16.297; 35.448; 0.22; 581.43; 430257.46; 382929.139; 0.0; 4461237.218; 16.32; 58.752; 
    8.60; 4; 740; 0.28; 16.32; 35.498; 0.22; 581.43; 430257.46; 382929.139; 0.0; 4474001.523; 16.343; 58.835; 
    8.63; 4; 740; 0.28; 16.343; 35.548; 0.22; 581.43; 430257.46; 382929.139; 0.0; 4486765.828; 16.367; 58.921; 
    8.67; 4; 740; 0.28; 16.367; 35.6; 0.219; 578.79; 428301.64; 381188.46; 0.0; 4499472.11; 16.39; 59.004; 
    8.70; 4; 740; 0.28; 16.39; 35.65; 0.219; 578.79; 428301.64; 381188.46; 0.0; 4512178.392; 16.413; 59.087; 
    8.73; 4; 740; 0.28; 16.413; 35.7; 0.219; 578.79; 428301.64; 381188.46; 0.0; 4524884.674; 16.436; 59.17; 
    8.77; 4; 740; 0.28; 16.436; 35.75; 0.219; 578.79; 428301.64; 381188.46; 0.0; 4537590.956; 16.459; 59.252; 
    8.80; 4; 740; 0.28; 16.459; 35.8; 0.218; 576.14; 426345.82; 379447.78; 0.0; 4550239.215; 16.482; 59.335; 
    8.83; 4; 740; 0.28; 16.482; 35.85; 0.218; 576.14; 426345.82; 379447.78; 0.0; 4562887.474; 16.505; 59.418; 
    8.87; 4; 740; 0.28; 16.505; 35.9; 0.218; 576.14; 426345.82; 379447.78; 0.0; 4575535.733; 16.528; 59.501; 
    8.90; 4; 740; 0.28; 16.528; 35.95; 0.218; 576.14; 426345.82; 379447.78; 0.0; 4588183.992; 16.551; 59.584; 
    8.93; 4; 740; 0.28; 16.551; 36.0; 0.217; 573.5; 424390.0; 377707.1; 0.0; 4600774.229; 16.573; 59.663; 
    8.97; 4; 740; 0.28; 16.573; 36.048; 0.217; 573.5; 424390.0; 377707.1; 0.0; 4613364.466; 16.596; 59.746; 
    9.00; 4; 740; 0.28; 16.596; 36.098; 0.217; 573.5; 424390.0; 377707.1; 0.0; 4625954.703; 16.619; 59.828; 
    9.03; 4; 740; 0.28; 16.619; 36.148; 0.217; 573.5; 424390.0; 377707.1; 0.0; 4638544.94; 16.641; 59.908; 
    9.07; 4; 740; 0.28; 16.641; 36.196; 0.216; 570.86; 422434.18; 375966.42; 0.0; 4651077.154; 16.664; 59.99; 
