     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
   17.10; 4; 740; 0.28; 20.984; 45.643; 0.18; 475.71; 352028.36; 313305.24; 0.0; 7386233.47; 20.999; 75.596; 
   17.13; 4; 740; 0.28; 20.999; 45.675; 0.18; 475.71; 352028.36; 313305.24; 0.0; 7396676.978; 21.014; 75.65; 
   17.17; 4; 740; 0.28; 21.014; 45.708; 0.18; 475.71; 352028.36; 313305.24; 0.0; 7407120.486; 21.029; 75.704; 
   17.20; 4; 740; 0.28; 21.029; 45.741; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7417505.971; 21.044; 75.758; 
   17.23; 4; 740; 0.28; 21.044; 45.773; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7427891.456; 21.058; 75.809; 
   17.27; 4; 740; 0.28; 21.058; 45.804; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7438276.941; 21.073; 75.863; 
   17.30; 4; 740; 0.28; 21.073; 45.836; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7448662.426; 21.088; 75.917; 
   17.33; 4; 740; 0.28; 21.088; 45.869; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7459047.911; 21.103; 75.971; 
   17.37; 4; 740; 0.28; 21.103; 45.902; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7469433.396; 21.117; 76.021; 
   17.40; 4; 740; 0.28; 21.117; 45.932; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7479818.881; 21.132; 76.075; 
   17.43; 4; 740; 0.28; 21.132; 45.965; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7490204.366; 21.147; 76.129; 
   17.47; 4; 740; 0.28; 21.147; 45.997; 0.179; 473.07; 350072.54; 311564.561; 0.0; 7500589.851; 21.161; 76.18; 
   17.50; 4; 740; 0.28; 21.161; 46.028; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7510917.336; 21.176; 76.234; 
   17.53; 4; 740; 0.28; 21.176; 46.06; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7521244.821; 21.19; 76.284; 
   17.57; 4; 740; 0.28; 21.19; 46.091; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7531572.306; 21.205; 76.338; 
   17.60; 4; 740; 0.28; 21.205; 46.123; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7541899.791; 21.219; 76.388; 
   17.63; 4; 740; 0.28; 21.219; 46.154; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7552227.276; 21.234; 76.442; 
   17.67; 4; 740; 0.28; 21.234; 46.186; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7562554.761; 21.248; 76.493; 
   17.70; 4; 740; 0.28; 21.248; 46.217; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7572882.246; 21.263; 76.547; 
   17.73; 4; 740; 0.28; 21.263; 46.25; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7583209.731; 21.277; 76.597; 
   17.77; 4; 740; 0.28; 21.277; 46.28; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7593537.216; 21.292; 76.651; 
   17.80; 4; 740; 0.28; 21.292; 46.313; 0.178; 470.43; 348117.46; 309824.539; 0.0; 7603864.701; 21.306; 76.702; 
   17.83; 4; 740; 0.28; 21.306; 46.343; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7614134.163; 21.321; 76.756; 
   17.87; 4; 740; 0.28; 21.321; 46.376; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7624403.625; 21.335; 76.806; 
   17.90; 4; 740; 0.28; 21.335; 46.406; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7634673.087; 21.35; 76.86; 
   17.93; 4; 740; 0.28; 21.35; 46.439; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7644942.549; 21.364; 76.91; 
   17.97; 4; 740; 0.28; 21.364; 46.469; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7655212.011; 21.378; 76.961; 
   18.00; 4; 740; 0.28; 21.378; 46.5; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7665481.473; 21.393; 77.015; 
   18.03; 4; 740; 0.28; 21.393; 46.532; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7675750.935; 21.407; 77.065; 
   18.07; 4; 740; 0.28; 21.407; 46.563; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7686020.397; 21.421; 77.116; 
   18.10; 4; 740; 0.28; 21.421; 46.593; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7696289.859; 21.435; 77.166; 
   18.13; 4; 740; 0.28; 21.435; 46.624; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7706559.321; 21.45; 77.22; 
   18.17; 4; 740; 0.28; 21.45; 46.656; 0.177; 467.79; 346161.64; 308083.86; 0.0; 7716828.783; 21.464; 77.27; 
   18.20; 4; 740; 0.28; 21.464; 46.687; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7727040.222; 21.478; 77.321; 
   18.23; 4; 740; 0.28; 21.478; 46.717; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7737251.661; 21.492; 77.371; 
   18.27; 4; 740; 0.28; 21.492; 46.748; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7747463.1; 21.507; 77.425; 
   18.30; 4; 740; 0.28; 21.507; 46.78; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7757674.539; 21.521; 77.476; 
   18.33; 4; 740; 0.28; 21.521; 46.811; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7767885.978; 21.535; 77.526; 
   18.37; 4; 740; 0.28; 21.535; 46.841; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7778097.417; 21.549; 77.576; 
   18.40; 4; 740; 0.28; 21.549; 46.872; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7788308.856; 21.563; 77.627; 
   18.43; 4; 740; 0.28; 21.563; 46.902; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7798520.295; 21.577; 77.677; 
   18.47; 4; 740; 0.28; 21.577; 46.933; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7808731.734; 21.592; 77.731; 
   18.50; 4; 740; 0.28; 21.592; 46.965; 0.176; 465.14; 344205.82; 306343.18; 0.0; 7818943.173; 21.606; 77.782; 
   18.53; 4; 740; 0.28; 21.606; 46.996; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7829096.59; 21.62; 77.832; 
   18.57; 4; 740; 0.28; 21.62; 47.026; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7839250.007; 21.634; 77.882; 
   18.60; 4; 740; 0.28; 21.634; 47.056; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7849403.424; 21.648; 77.933; 
   18.63; 4; 740; 0.28; 21.648; 47.087; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7859556.841; 21.662; 77.983; 
   18.67; 4; 740; 0.28; 21.662; 47.117; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7869710.258; 21.676; 78.034; 
   18.70; 4; 740; 0.28; 21.676; 47.148; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7879863.675; 21.69; 78.084; 
   18.73; 4; 740; 0.28; 21.69; 47.178; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7890017.092; 21.704; 78.134; 
   18.77; 4; 740; 0.28; 21.704; 47.209; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7900170.509; 21.718; 78.185; 
   18.80; 4; 740; 0.28; 21.718; 47.239; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7910323.926; 21.732; 78.235; 
   18.83; 4; 740; 0.28; 21.732; 47.27; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7920477.343; 21.745; 78.282; 
   18.87; 4; 740; 0.28; 21.745; 47.298; 0.175; 462.5; 342250.0; 304602.5; 0.0; 7930630.76; 21.759; 78.332; 
   18.90; 4; 740; 0.28; 21.759; 47.328; 0.174; 459.86; 340294.18; 302861.82; 0.0; 7940726.154; 21.773; 78.383; 
   18.93; 4; 740; 0.28; 21.773; 47.359; 0.174; 459.86; 340294.18; 302861.82; 0.0; 7950821.548; 21.787; 78.433; 
   18.97; 4; 740; 0.28; 21.787; 47.389; 0.174; 459.86; 340294.18; 302861.82; 0.0; 7960916.942; 21.801; 78.484; 
   19.00; 4; 740; 0.28; 21.801; 47.42; 0.174; 459.86; 340294.18; 302861.82; 0.0; 7971012.336; 21.815; 78.534; 
   19.03; 4; 740; 0.28; 21.815; 47.45; 0.174; 459.86; 340294.18; 302861.82; 0.0; 7981107.73; 21.829; 78.584; 
   19.07; 4; 740; 0.28; 21.829; 47.481; 0.174; 459.86; 340294.18; 302861.82; 0.0; 7991203.124; 21.842; 78.631; 
   19.10; 4; 740; 0.28; 21.842; 47.509; 0.174; 459.86; 340294.18; 302861.82; 0.0; 8001298.518; 21.856; 78.682; 
   19.13; 4; 740; 0.28; 21.856; 47.539; 0.174; 459.86; 340294.18; 302861.82; 0.0; 8011393.912; 21.87; 78.732; 
   19.17; 4; 740; 0.28; 21.87; 47.57; 0.174; 459.86; 340294.18; 302861.82; 0.0; 8021489.306; 21.884; 78.782; 
   19.20; 4; 740; 0.28; 21.884; 47.6; 0.174; 459.86; 340294.18; 302861.82; 0.0; 8031584.7; 21.897; 78.829; 
   19.23; 4; 740; 0.28; 21.897; 47.629; 0.174; 459.86; 340294.18; 302861.82; 0.0; 8041680.094; 21.911; 78.88; 
   19.27; 4; 740; 0.28; 21.911; 47.659; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8051717.465; 21.925; 78.93; 
   19.30; 4; 740; 0.28; 21.925; 47.689; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8061754.836; 21.939; 78.98; 
   19.33; 4; 740; 0.28; 21.939; 47.72; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8071792.207; 21.952; 79.027; 
   19.37; 4; 740; 0.28; 21.952; 47.748; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8081829.578; 21.966; 79.078; 
   19.40; 4; 740; 0.28; 21.966; 47.779; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8091866.949; 21.979; 79.124; 
   19.43; 4; 740; 0.28; 21.979; 47.807; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8101904.32; 21.993; 79.175; 
   19.47; 4; 740; 0.28; 21.993; 47.837; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8111941.691; 22.007; 79.225; 
   19.50; 4; 740; 0.28; 22.007; 47.868; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8121979.062; 22.02; 79.272; 
   19.53; 4; 740; 0.28; 22.02; 47.896; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8132016.433; 22.034; 79.322; 
   19.57; 4; 740; 0.28; 22.034; 47.927; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8142053.804; 22.048; 79.373; 
   19.60; 4; 740; 0.28; 22.048; 47.957; 0.173; 457.21; 338338.36; 301121.14; 0.0; 8152091.175; 22.061; 79.42; 
   19.63; 4; 740; 0.28; 22.061; 47.985; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8162070.524; 22.075; 79.47; 
   19.67; 4; 740; 0.28; 22.075; 48.016; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8172049.873; 22.088; 79.517; 
   19.70; 4; 740; 0.28; 22.088; 48.044; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8182029.222; 22.102; 79.567; 
   19.73; 4; 740; 0.28; 22.102; 48.074; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8192008.571; 22.115; 79.614; 
   19.77; 4; 740; 0.28; 22.115; 48.103; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8201987.92; 22.129; 79.664; 
   19.80; 4; 740; 0.28; 22.129; 48.133; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8211967.269; 22.142; 79.711; 
   19.83; 4; 740; 0.28; 22.142; 48.161; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8221946.618; 22.155; 79.758; 
   19.87; 4; 740; 0.28; 22.155; 48.19; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8231925.967; 22.169; 79.808; 
   19.90; 4; 740; 0.28; 22.169; 48.22; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8241905.316; 22.182; 79.855; 
   19.93; 4; 740; 0.28; 22.182; 48.248; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8251884.665; 22.196; 79.906; 
   19.97; 4; 740; 0.28; 22.196; 48.279; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8261864.014; 22.209; 79.952; 
   20.00; 4; 740; 0.28; 22.209; 48.307; 0.172; 454.57; 336382.54; 299380.461; 0.0; 8271843.363; 22.223; 80.003; 
   20.03; 4; 740; 0.28; 22.223; 48.338; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8281764.711; 22.236; 80.05; 
   20.07; 4; 740; 0.28; 22.236; 48.366; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8291686.059; 22.249; 80.096; 
   20.10; 4; 740; 0.28; 22.249; 48.394; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8301607.407; 22.262; 80.143; 
   20.13; 4; 740; 0.28; 22.262; 48.422; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8311528.755; 22.276; 80.194; 
   20.17; 4; 740; 0.28; 22.276; 48.453; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8321450.103; 22.289; 80.24; 
   20.20; 4; 740; 0.28; 22.289; 48.481; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8331371.451; 22.302; 80.287; 
   20.23; 4; 740; 0.28; 22.302; 48.509; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8341292.799; 22.316; 80.338; 
   20.27; 4; 740; 0.28; 22.316; 48.54; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8351214.147; 22.329; 80.384; 
   20.30; 4; 740; 0.28; 22.329; 48.568; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8361135.495; 22.342; 80.431; 
   20.33; 4; 740; 0.28; 22.342; 48.596; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8371056.843; 22.355; 80.478; 
   20.37; 4; 740; 0.28; 22.355; 48.625; 0.171; 451.93; 334427.46; 297640.439; 0.0; 8380978.191; 22.369; 80.528; 
   20.40; 4; 740; 0.28; 22.369; 48.655; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8390841.516; 22.382; 80.575; 
   20.43; 4; 740; 0.28; 22.382; 48.683; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8400704.841; 22.395; 80.622; 
   20.47; 4; 740; 0.28; 22.395; 48.712; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8410568.166; 22.408; 80.669; 
   20.50; 4; 740; 0.28; 22.408; 48.74; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8420431.491; 22.421; 80.716; 
   20.53; 4; 740; 0.28; 22.421; 48.768; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8430294.816; 22.434; 80.762; 
   20.57; 4; 740; 0.28; 22.434; 48.797; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8440158.141; 22.447; 80.809; 
   20.60; 4; 740; 0.28; 22.447; 48.825; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8450021.466; 22.461; 80.86; 
   20.63; 4; 740; 0.28; 22.461; 48.855; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8459884.791; 22.474; 80.906; 
   20.67; 4; 740; 0.28; 22.474; 48.884; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8469748.116; 22.487; 80.953; 
   20.70; 4; 740; 0.28; 22.487; 48.912; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8479611.441; 22.5; 81.0; 
   20.73; 4; 740; 0.28; 22.5; 48.94; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8489474.766; 22.513; 81.047; 
   20.77; 4; 740; 0.28; 22.513; 48.968; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8499338.091; 22.526; 81.094; 
   20.80; 4; 740; 0.28; 22.526; 48.997; 0.17; 449.29; 332471.64; 295899.76; 0.0; 8509201.416; 22.539; 81.14; 
   20.83; 4; 740; 0.28; 22.539; 49.025; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8519006.719; 22.552; 81.187; 
   20.87; 4; 740; 0.28; 22.552; 49.053; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8528812.022; 22.565; 81.234; 
   20.90; 4; 740; 0.28; 22.565; 49.082; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8538617.325; 22.578; 81.281; 
   20.93; 4; 740; 0.28; 22.578; 49.11; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8548422.628; 22.591; 81.328; 
   20.97; 4; 740; 0.28; 22.591; 49.138; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8558227.931; 22.604; 81.374; 
   21.00; 4; 740; 0.28; 22.604; 49.166; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8568033.234; 22.617; 81.421; 
   21.03; 4; 740; 0.28; 22.617; 49.195; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8577838.537; 22.63; 81.468; 
   21.07; 4; 740; 0.28; 22.63; 49.223; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8587643.84; 22.643; 81.515; 
   21.10; 4; 740; 0.28; 22.643; 49.251; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8597449.143; 22.656; 81.562; 
   21.13; 4; 740; 0.28; 22.656; 49.279; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8607254.446; 22.669; 81.608; 
   21.17; 4; 740; 0.28; 22.669; 49.308; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8617059.749; 22.682; 81.655; 
   21.20; 4; 740; 0.28; 22.682; 49.336; 0.169; 446.64; 330515.82; 294159.08; 0.0; 8626865.052; 22.694; 81.698; 
   21.23; 4; 740; 0.28; 22.694; 49.362; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8636612.332; 22.707; 81.745; 
   21.27; 4; 740; 0.28; 22.707; 49.39; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8646359.612; 22.72; 81.792; 
   21.30; 4; 740; 0.28; 22.72; 49.419; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8656106.892; 22.733; 81.839; 
   21.33; 4; 740; 0.28; 22.733; 49.447; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8665854.172; 22.746; 81.886; 
   21.37; 4; 740; 0.28; 22.746; 49.475; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8675601.452; 22.758; 81.929; 
   21.40; 4; 740; 0.28; 22.758; 49.501; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8685348.732; 22.771; 81.976; 
   21.43; 4; 740; 0.28; 22.771; 49.53; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8695096.012; 22.784; 82.022; 
   21.47; 4; 740; 0.28; 22.784; 49.558; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8704843.292; 22.797; 82.069; 
   21.50; 4; 740; 0.28; 22.797; 49.586; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8714590.572; 22.81; 82.116; 
   21.53; 4; 740; 0.28; 22.81; 49.614; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8724337.852; 22.822; 82.159; 
   21.57; 4; 740; 0.28; 22.822; 49.641; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8734085.132; 22.835; 82.206; 
   21.60; 4; 740; 0.28; 22.835; 49.669; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8743832.412; 22.848; 82.253; 
   21.63; 4; 740; 0.28; 22.848; 49.697; 0.168; 444.0; 328560.0; 292418.4; 0.0; 8753579.692; 22.86; 82.296; 
   21.67; 4; 740; 0.28; 22.86; 49.723; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8763268.949; 22.873; 82.343; 
   21.70; 4; 740; 0.28; 22.873; 49.751; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8772958.206; 22.886; 82.39; 
   21.73; 4; 740; 0.28; 22.886; 49.78; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8782647.463; 22.898; 82.433; 
   21.77; 4; 740; 0.28; 22.898; 49.806; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8792336.72; 22.911; 82.48; 
   21.80; 4; 740; 0.28; 22.911; 49.834; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8802025.977; 22.924; 82.526; 
   21.83; 4; 740; 0.28; 22.924; 49.862; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8811715.234; 22.936; 82.57; 
   21.87; 4; 740; 0.28; 22.936; 49.888; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8821404.491; 22.949; 82.616; 
   21.90; 4; 740; 0.28; 22.949; 49.917; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8831093.748; 22.961; 82.66; 
   21.93; 4; 740; 0.28; 22.961; 49.943; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8840783.005; 22.974; 82.706; 
   21.97; 4; 740; 0.28; 22.974; 49.971; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8850472.262; 22.987; 82.753; 
   22.00; 4; 740; 0.28; 22.987; 49.999; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8860161.519; 22.999; 82.796; 
   22.03; 4; 740; 0.28; 22.999; 50.026; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8869850.776; 23.012; 82.843; 
   22.07; 4; 740; 0.28; 23.012; 50.054; 0.167; 441.36; 326604.18; 290677.72; 0.0; 8879540.033; 23.024; 82.886; 
   22.10; 4; 740; 0.28; 23.024; 50.08; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8889171.268; 23.037; 82.933; 
   22.13; 4; 740; 0.28; 23.037; 50.108; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8898802.503; 23.049; 82.976; 
   22.17; 4; 740; 0.28; 23.049; 50.134; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8908433.738; 23.062; 83.023; 
   22.20; 4; 740; 0.28; 23.062; 50.163; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8918064.973; 23.074; 83.066; 
   22.23; 4; 740; 0.28; 23.074; 50.189; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8927696.208; 23.087; 83.113; 
   22.27; 4; 740; 0.28; 23.087; 50.217; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8937327.443; 23.099; 83.156; 
   22.30; 4; 740; 0.28; 23.099; 50.243; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8946958.678; 23.112; 83.203; 
   22.33; 4; 740; 0.28; 23.112; 50.271; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8956589.913; 23.124; 83.246; 
   22.37; 4; 740; 0.28; 23.124; 50.297; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8966221.148; 23.136; 83.29; 
   22.40; 4; 740; 0.28; 23.136; 50.324; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8975852.383; 23.149; 83.336; 
   22.43; 4; 740; 0.28; 23.149; 50.352; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8985483.618; 23.161; 83.38; 
   22.47; 4; 740; 0.28; 23.161; 50.378; 0.166; 438.71; 324648.36; 288937.04; 0.0; 8995114.853; 23.174; 83.426; 
   22.50; 4; 740; 0.28; 23.174; 50.406; 0.166; 438.71; 324648.36; 288937.04; 0.0; 9004746.088; 23.186; 83.47; 
   22.53; 4; 740; 0.28; 23.186; 50.432; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9014319.3; 23.198; 83.513; 
   22.57; 4; 740; 0.28; 23.198; 50.458; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9023892.512; 23.211; 83.56; 
   22.60; 4; 740; 0.28; 23.211; 50.487; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9033465.724; 23.223; 83.603; 
   22.63; 4; 740; 0.28; 23.223; 50.513; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9043038.936; 23.235; 83.646; 
   22.67; 4; 740; 0.28; 23.235; 50.539; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9052612.148; 23.248; 83.693; 
   22.70; 4; 740; 0.28; 23.248; 50.567; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9062185.36; 23.26; 83.736; 
   22.73; 4; 740; 0.28; 23.26; 50.593; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9071758.572; 23.272; 83.779; 
   22.77; 4; 740; 0.28; 23.272; 50.619; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9081331.784; 23.285; 83.826; 
   22.80; 4; 740; 0.28; 23.285; 50.648; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9090904.996; 23.297; 83.869; 
   22.83; 4; 740; 0.28; 23.297; 50.674; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9100478.208; 23.309; 83.912; 
   22.87; 4; 740; 0.28; 23.309; 50.7; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9110051.42; 23.321; 83.956; 
   22.90; 4; 740; 0.28; 23.321; 50.726; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9119624.632; 23.334; 84.002; 
   22.93; 4; 740; 0.28; 23.334; 50.754; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9129197.844; 23.346; 84.046; 
   22.97; 4; 740; 0.28; 23.346; 50.78; 0.165; 436.07; 322692.54; 287196.361; 0.0; 9138771.056; 23.358; 84.089; 
   23.00; 4; 740; 0.28; 23.358; 50.806; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9148286.267; 23.37; 84.132; 
   23.03; 4; 740; 0.28; 23.37; 50.832; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9157801.478; 23.382; 84.175; 
   23.07; 4; 740; 0.28; 23.382; 50.859; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9167316.689; 23.394; 84.218; 
   23.10; 4; 740; 0.28; 23.394; 50.885; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9176831.9; 23.407; 84.265; 
   23.13; 4; 740; 0.28; 23.407; 50.913; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9186347.111; 23.419; 84.308; 
   23.17; 4; 740; 0.28; 23.419; 50.939; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9195862.322; 23.431; 84.352; 
   23.20; 4; 740; 0.28; 23.431; 50.965; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9205377.533; 23.443; 84.395; 
   23.23; 4; 740; 0.28; 23.443; 50.991; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9214892.744; 23.455; 84.438; 
   23.27; 4; 740; 0.28; 23.455; 51.017; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9224407.955; 23.467; 84.481; 
   23.30; 4; 740; 0.28; 23.467; 51.043; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9233923.166; 23.479; 84.524; 
   23.33; 4; 740; 0.28; 23.479; 51.07; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9243438.377; 23.491; 84.568; 
   23.37; 4; 740; 0.28; 23.491; 51.096; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9252953.588; 23.504; 84.614; 
   23.40; 4; 740; 0.28; 23.504; 51.124; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9262468.799; 23.516; 84.658; 
   23.43; 4; 740; 0.28; 23.516; 51.15; 0.164; 433.43; 320737.46; 285456.339; 0.0; 9271984.01; 23.528; 84.701; 
   23.47; 4; 740; 0.28; 23.528; 51.176; 0.163; 430.79; 318781.64; 283715.66; 0.0; 9281441.199; 23.54; 84.744; 
   23.50; 4; 740; 0.28; 23.54; 51.202; 0.163; 430.79; 318781.64; 283715.66; 0.0; 9290898.388; 23.552; 84.787; 
